Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,
,,,,,,,,,,,,
Inst #,School Name,Final 2015 Decile,"Final 2015 
Step","July 2014 Funding roll
Years 9+","July 2014 Funding roll
Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,Māori Electorate
323,Aranui High School,2,D,346,346,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
3279,Aranui School (Christchurch),1,B,0,157,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
2336,Aranui School (Wanganui),1,C,0,102,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
1002,Arapohue School,2,E,0,12,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1207,Ararimu School,10,Z,0,141,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1686,Arataki School,3,I,0,341,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
3704,Ardgowan School,6,N,0,122,Full Primary,State,Waitaki District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
1208,Ardmore School,4,L,0,352,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
2542,Argyll East School,5,M,0,64,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1687,Aria School,5,M,0,51,Contributing,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
1209,Arohanui Special School,4,K,60,144,Special School,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1688,Arohena School,7,O,0,39,Full Primary,State,Otorohanga District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
3280,Arowhenua Maori School,4,K,0,25,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3930,Arrowtown School,10,Z,0,485,Full Primary,State,Queenstown-Lakes District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
2543,Arthur Miller School,7,O,0,315,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
3706,Arthur Street School,6,N,0,119,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1625,Ascot Community School,3,H,0,193,Full Primary,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
1689,Ashbrook School,1,B,0,143,Full Primary,State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3281,Ashburton Borough School,7,O,0,368,Full Primary,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
608,Ashburton Christian School,6,N,18,95,Composite (Year 1-15),State: Integrated,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
351,Ashburton College,6,N,1168,1168,Secondary (Year 9-15),State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3282,Ashburton Intermediate,6,N,0,367,Intermediate,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3283,Ashburton Netherby School,3,I,0,128,Contributing,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3284,Ashgrove School,9,Q,0,538,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
2337,Ashhurst School,7,O,0,397,Full Primary,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3285,Ashley School,10,Z,0,175,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
53,Auckland Girls' Grammar School,3,H,1370,1370,Secondary (Year 9-15),State,Auckland- Waitemata,Auckland Region,Auckland South,Auckland Central,Tamaki Makaurau
54,Auckland Grammar,9,Q,2447,2447,Secondary (Year 9-15),State,Auckland- Albert-Eden,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
